ID,base model error,source model error,adapted model error,target model error
31,0.8581461109390259,0.03654508775952396,0.0387533520345769,0.03753460929301351
32,0.4511918465296427,0.13352466336307878,0.07214090650765213,0.053247111695999244
33,0.499596635610407,0.04982572558190013,0.054355142426194575,0.05338268318099201
34,0.49467856854557996,0.08088883429127679,0.06813559080795083,0.0791540227749325
35,0.6490726221832633,0.13451659989307224,0.050402169069815095,0.05765965621328034
36,0.6761989573336642,0.08890006604810728,0.07403243886578381,0.08726259197977355
37,0.3901439764297009,0.072216976792065,0.051166375370872985,0.040918890389274584
38,0.4616013102446662,0.08167710471668202,0.06769901342935741,0.07167197434773202
39,0.48758160266685485,0.04844312968797295,0.027141930083927557,0.03879617541481023
40,0.22930610482533773,0.04678369409762161,0.0389455458912803,0.03010978369129816
