ID,base model error,source model error,adapted model error,target model error
186,1.68333832549,0.174838948962,0.100917514714,0.0989981371248
200,1.08942400986,0.249112423313,0.0977815523185,0.077452599914
214,1.35291126455,0.175426510423,0.115286752953,0.105382411068
256,1.7613391465,0.233061169372,0.0881691306897,0.107371235177
257,1.33084199212,0.103376133431,0.0855690231964,0.111651937492
259,2.50358650921,0.0801642587068,0.0713006324845,0.0848487618942
260,1.82029662689,0.0570589094567,0.0415816499275,0.0509499298065
269,2.24929833838,0.331466231994,0.148191152769,0.123815910693
276,2.63788257553,0.283151168406,0.0816572090841,0.0700432085477
295,3.11388196037,0.157438555722,0.105756547664,0.0954102509195
