ID,base model error,source model error,adapted model error,target model error
11,0.39868675436485906,0.059819056342152746,0.04691286407286824,0.0439672506563851
12,0.6744790945889734,0.08466719966772078,0.052806805639504545,0.05532863418649494
13,0.7694458333333333,0.10734438611806203,0.10086768836631788,0.06857973713170523
14,0.10160105031793766,0.07153126167796263,0.03553564272849331,0.048088293959380086
15,0.2413529407978058,0.13948648650039455,0.046204384548914845,0.07697582338750238
16,0.5230699018685023,0.24737547632876267,0.2008807567632955,0.13279817795657184
17,0.5482093165318171,0.17472749216962805,0.09838547516443208,0.0691119810038697
18,0.23286987477970128,0.08476532018859971,0.07528935631882581,0.04995311551689704
19,0.6323375218359628,0.13208227573769785,0.07346075646755368,0.0379239583008206
20,0.26537726453900334,0.06091483427079189,0.038855556522578535,0.06475964618382794
