2.3973,4.2702,2.3436,3.3512,2.2479,3.7059
2.4668,4.4632,2.4286,3.1186,2.0554,3.1868
2.7885,4.661,2.7535,3.2942,2.1287,3.2405
2.829,4.774,2.7942,3.154,2.1174,2.8695
2.8446,4.234,2.8089,3.1169,2.1057,2.7177
2.8185,3.1507,2.7814,3.0904,2.1136,2.2623
2.8486,3.1284,2.812,3.0908,2.113,2.2743
2.8338,3.1204,2.7973,3.0776,2.1115,2.2475
2.8366,3.1205,2.8012,3.0776,2.1091,2.2463
2.8426,3.1205,2.8077,3.0777,2.1109,2.2465
2.8495,3.1205,2.8144,3.0778,2.1126,2.2511
2.842,3.1205,2.8061,3.0777,2.1084,2.2466
2.8295,3.1204,2.7943,3.0775,2.1229,2.2589
2.855,3.1206,2.8196,3.0779,2.1155,2.2637
2.855,3.1206,2.8196,3.0779,2.1155,2.2637
2.855,3.1206,2.8196,3.0779,2.1155,2.2637
2.8547,3.1206,2.8193,3.0779,2.1147,2.2618
2.855,3.1206,2.8196,3.0779,2.1155,2.2637
2.8236,3.1204,2.7885,3.0775,2.1111,2.2464
2.855,3.1206,2.8196,3.0779,2.1163,2.2656
