4.0745,11.877,4.0157,6.8051,3.7685,4.8314
4.5671,8.3227,4.5171,6.6102,4.3654,4.8514
5.114,12.488,5.0711,9.1194,5.1774,6.2103
6.582,18.159,6.5285,14.32,6.5148,6.9351
8.0485,14.852,7.9407,12.979,6.9771,6.6804
8.85,12.365,8.767,11.766,7.0653,6.5897
9.0725,12.171,8.9966,11.773,7.0648,6.7367
8.8542,11.84,8.7769,11.537,6.8271,6.4998
9.187,12.177,9.1159,11.905,6.9289,6.7739
8.9252,11.988,8.8435,11.775,6.8769,6.6434
9.0665,12.03,8.9896,11.792,6.8314,6.7032
9.251,12.293,9.1767,12.05,6.9144,6.8235
8.9627,12.08,8.8848,11.823,6.8508,6.6857
8.9507,11.902,8.8763,11.608,7.0196,6.5253
8.9796,11.993,8.8994,11.673,7.0257,6.5901
8.9504,11.917,8.8737,11.615,7.0344,6.5253
8.9685,12.01,8.8945,11.736,7.0553,6.6114
8.7696,12.008,8.6871,11.68,7.1066,6.6143
8.8006,12.161,8.729,11.884,7.1073,6.778
9.1962,12.533,9.1185,12.218,7.1645,6.8159
