ID,base model error,source model error,adapted model error,target model error
51,0.147930414085,0.143249451447,0.0848733156835,0.0783196490621
52,0.324041076317,0.0350526024306,0.0346956789893,0.045945351981
53,0.900378221628,0.176101547027,0.0572104654683,0.0787320731988
54,0.195230941474,0.12323983699,0.0853343088997,0.0802949071889
55,0.275300786495,0.212030037186,0.0722555204166,0.091685720058
56,0.442242368964,0.0294794919192,0.0294118034084,0.0590173219398
57,0.339424869316,0.0746992529927,0.0823893341315,0.0703161154725
58,0.24029572114,0.100464795666,0.0457551390279,0.0698778268748
59,0.858171843061,0.195921100276,0.0804137937317,0.114579817092
60,0.692755617728,0.0730271800003,0.0532157954345,0.058537709839
