ID,base model error,source model error,adapted model error,target model error
618,0.623135634325,0.0532957419429,0.03818199518,0.0529666704547
626,0.578767491691,0.130990503683,0.0903027132386,0.053685665763
644,0.540810175429,0.0779805768032,0.0776846313231,0.0776298146973
649,0.251095773141,0.159794829464,0.107298096927,0.0948716077717
658,0.524356470108,0.215997778324,0.0745622700125,0.0755366319084
668,0.460862673046,0.0339389159125,0.0314827992341,0.0521893187931
671,0.339415151694,0.259022455024,0.106511652899,0.0975758344781
679,0.506215362888,0.122818658118,0.0845641363905,0.041732337803
685,0.770346483285,0.122111838846,0.107060357798,0.109837047894
698,0.807132444448,0.276967612553,0.129056486815,0.0895664440563
